Titulo,Año,Duración,Rating,Genero
(500) Days of Summer,2009,95,3.9,Romance
10 Things I Hate About You,1999,137,3.7,Comedy
1917,2019,119,4.2,Drama
365 Days,2020,154,1.8,Romance
47 Meters Down: Uncaged,2019,130,5,Horror
A Walk to Remember,2002,101,3.7,Romance
Alien,1979,157,4.2,Ciencia Ficcion
An Inspector Calls ,2015,127,3.1,Drama
Andhadhun,2018,139,4.1,Drama
Apostle ,2018,150,3.2,Horror
Aquaman ,2018,143,3.5,Action 
Believe Me: The Abduction of Lisa McVey,2018,127,3.6,Drama
Boyka,2016,126,5,Drama
Bride of Chucky,1998,129,2.7,Horror
Bridesmaids,2011,125,3.4,Comedy
Cadaver ,2020,250,4.9,Horror
Code 8,2019,138,3.6,Action
Couples Retreat,2009,113,2.8,Comedy
Crawl,2019,127,3.7,Horror
CSI: Immortality,2015,127,3.8,Ciencia Ficcion
Deep Blue Sea ,2020,100,4.7,Horror
Descendants ,2019,106,3.2,Drama
Descendants 2,2017,111,3.3,Action
Desperation,2006,131,4.8,Ciencia Ficcion
Division 19,2017,133,1.7,Ciencia Ficcion
Dont blame the child,2016,105,3.3,Comedy
Dont Go Breaking My Heart,2021,123,3.4,Comedy
Dont Listen,2020,137,4.7,Horror
Easy A,2010,132,3.5,Comedy
Escape Room,2019,139,3.2,Horror
Eternal Sunshine of the Spotless Mind,2004,148,4.2,Ciencia Ficcion
"Everything, Everything",2017,96,3.2,Romance
Ewoks: The Battle for Endor,1985,134,2.3,Ciencia Ficcion
Extinction,2018,135,2.9,Action
Fast & Furious: Hobbs and Shaw,2019,217,3.2,Action
First Man,2018,141,3.7,Drama
Five Feet Apart,2019,116,3.6,Romance
Forrest Gump,1994,142,4.4,Romance
Friends with Benefits,2011,109,3.3,Romance
Godzilla vs Kong,2021,153,3.3,Action
Grown Ups,2010,102,3,Comedy
Halloween ,2018,146,2.6,Horror
Haunt,2019,132,2.5,Horror
Here Today,2021,157,3.1,Comedy
High School Musical,2006,98,2.8,Comedy
House of the Witch,2018,130,4.3,Ciencia Ficción
How to Be Single,2016,110,3.1,Comedy
How to Train Your Dragon,2010,138,4.1,Action
Identity Thief,2013,111,2.9,Comedy
If I Stay,2014,107,3.4,Romance
Inception,2010,148,4.4,Action
Interstellar,2014,169,4.3,Drama
Iron Man 3,2013,130,4.6,Action
Jigsaw,2017,132,2.3,Horror
John Wick: Chapter 3 - Parabellum,2019,130,3.7,Crime
Joker,2019,122,4.2,Drama
Jurassic World ,2015,124,3.5,Ciencia Ficcion
Justice Is Mind,2013,233,2.8,Ciencia Ficcion
Kingsman,2017,141,3.4,Action
Last Man Standing,2011,121,4.9,Action
Le Mans 66,2019,152,4.1,Action
Letters to Juliet,2010,95,3.3,Romance
Limitless,2011,105,3.7,Ciencia Ficcion
Line of Duty ,2012,100,4.4,Drama
Locas por el Cambio,2020,95,2.5,Comedy
Logan,2017,137,4.1,Action
Lucy,2014,129,3.2,Ciencia Ficcion
Mad Max: Fury Road,2015,120,4.1,Ciencia Ficcion
Me Before You,2016,106,3.7,Drama
Mean Girls,2004,137,3.5,Comedy
Megalodon ,2018,128,2.9,Ciencia Ficcion
Men in Black: International,2019,114,2.3,Comedy
Mission Impossible Fallout,2018,147,4.6,Adventure
"Monsters, Inc.",2001,132,4.1,Comedy
Mortal Kombat,2021,109,4.1,Ciencia Ficcion
Murder on the Home Front,2019,131,2.7,Horror
Nerve,2016,136,3.3,Action
Nomadland,2020,147,3.7,Drama
OtherLife,2017,136,3.2,Drama
Pans Labryrinth,2006,158,4.1,Ciencia Ficcion
Passengers,2016,116,3.5,Drama
Pride and Prejudice,2005,129,3.9,Romance
Salting the Battlefield ,2014,133,3,Action
Sharknado,2013,126,3.3,Action
Sharknado 5: Global Swarming,2017,133,3.9,Adventure
Sky High,2020,121,4.3,Action
Skyscraper,2018,142,2.9,Action
