Pelicula1,Pelicula2
47 Meters Down: Uncaged,Megalodon
Alien,Haunt
Apostle,Desperation
Aquaman,Unaired Game of Thromes Prequel Pilot
Boyka Undisputed,Mortal Kombat
Cadaver,The Missiles of October 
Code 8,Line of Duty
Crawl,House of the Witch
Deep Blue Sea,The Tomorrow War
Dont Listen,Things Heard & Seen 
Easy A,Friends with Benefits
Eli,No Escape Room
Escape Room,The Bad Seed 
First Man,The Selection
Halloween,The Wizard of Lies
Haunt,Murder on the Home Front
Inception,Joker
Interstellar,Forrest Gump
Iron Man 3,Ewoks: The Battle for Endor
Jigsaw,CSI: Immortality
John Wick: Chapter 3 - Parabellum,Believe Me: The Abduction of Lisa McVey
Jurassic World,Descendants 2
Kingsman,The Saint 
Limitless,The Butterfly Effect
Logan,Mad Max: Fury Road
Lucy,Passengers
Mean Girls,The Devil Wears Prada
Men in Black: International,Salting the Battlefield 
Monsters Inc.,How to Train Your Dragon
Nerve,Wild Child
OtherLife,Extinction
Sky High,Sharknado 5: Global Swarming
Slenderman,Thruth or Dare
Star Wars Episode VIII - The Last Jedi,Thor
The Fate of the Furious,Mission Impossible Fallout
The Fault in Our Stars,Me Before You
The First Purge,Sharknado 
The Gentlemen,Dont Go Breaking My Heart
The Paramedic,An Inspector Calls 
The Perks of Being a Wallflower,10 Things I Hate About You
Thunder Force,The Dark Knight
Transformers,The Last Skarknado: Its About Time
Underwater,Last Man Standing
Venom,Descendants 
